id;day;month;year;N1;N2;N3;N4;N5
5618;16;09;2021;9;21;25;27;34
5617;15;09;2021;10;16;17;27;42
5616;14;09;2021;5;13;22;32;33
5615;13;09;2021;7;18;20;24;27
5614;12;09;2021;15;17;22;27;37
5613;11;09;2021;5;11;17;23;24
5612;10;09;2021;9;24;29;30;37
5611;09;09;2021;1;10;29;30;33
5610;08;09;2021;18;19;22;29;34
5609;07;09;2021;10;13;14;21;36
5608;06;09;2021;12;16;17;20;40
5607;05;09;2021;1;2;26;34;38
5606;04;09;2021;4;6;14;21;27
5605;03;09;2021;5;15;27;28;32
5604;02;09;2021;4;16;18;19;31
5603;01;09;2021;8;16;27;29;36
5602;31;08;2021;12;15;16;21;30
5601;30;08;2021;9;20;25;29;32
5600;29;08;2021;6;12;32;38;39
5599;28;08;2021;6;11;15;24;38
5598;27;08;2021;10;19;26;30;32
5597;26;08;2021;19;25;28;34;41
5596;25;08;2021;2;3;9;13;37
5595;24;08;2021;13;15;17;26;34
5594;23;08;2021;3;14;15;24;31
5593;22;08;2021;1;12;20;28;36
5592;21;08;2021;9;14;35;38;42
5591;20;08;2021;9;10;14;24;37
5590;19;08;2021;8;12;15;16;23
5589;18;08;2021;2;4;15;26;42
5588;17;08;2021;6;7;16;24;35
5587;16;08;2021;6;20;29;36;42
5586;15;08;2021;18;22;27;34;35
5585;14;08;2021;3;16;17;27;33
5584;13;08;2021;8;13;14;26;31
5583;12;08;2021;8;10;15;35;37
5582;11;08;2021;1;6;7;24;39
5581;10;08;2021;4;8;9;17;21
5580;09;08;2021;5;19;32;38;40
5579;08;08;2021;13;32;35;40;41
5578;07;08;2021;1;5;23;38;41
5577;06;08;2021;10;20;26;29;39
5576;05;08;2021;7;13;25;31;41
5575;04;08;2021;21;25;30;37;41
5574;03;08;2021;9;14;22;24;32
5573;02;08;2021;15;18;19;24;34
5572;01;08;2021;11;13;23;34;42
5571;31;07;2021;4;8;14;23;24
5570;30;07;2021;2;3;33;34;42
5569;29;07;2021;12;23;25;29;38
5568;28;07;2021;2;9;23;24;25
5567;27;07;2021;3;14;33;35;37
5566;26;07;2021;2;26;30;39;40
5565;25;07;2021;3;5;16;28;37
5564;24;07;2021;20;25;27;31;42
5563;23;07;2021;4;12;22;26;32
5562;22;07;2021;24;29;33;37;39
5561;21;07;2021;3;4;11;15;39
5560;20;07;2021;4;16;24;32;39
5559;19;07;2021;4;7;24;26;39
5558;18;07;2021;2;6;27;37;40
5557;17;07;2021;7;13;30;33;41
5556;16;07;2021;2;3;12;15;32
5555;15;07;2021;2;4;7;10;35
5554;14;07;2021;4;5;17;34;36
5553;13;07;2021;6;9;24;33;35
5552;12;07;2021;12;27;30;33;38
5551;11;07;2021;5;10;14;22;36
5550;10;07;2021;8;9;16;32;39
5549;09;07;2021;3;9;23;28;36
5548;08;07;2021;4;9;26;34;41
5547;07;07;2021;12;15;30;31;40
5546;06;07;2021;3;11;25;33;42
5545;05;07;2021;4;11;25;26;35
5544;04;07;2021;12;33;34;36;42
5543;03;07;2021;2;11;16;24;28
5542;02;07;2021;6;11;13;15;22
5541;01;07;2021;3;6;20;36;42
5540;30;06;2021;3;9;11;17;24
5539;29;06;2021;7;11;14;15;40
5538;28;06;2021;1;17;20;30;37
5537;27;06;2021;3;10;19;22;36
5536;26;06;2021;3;15;16;17;39
5535;25;06;2021;13;15;16;32;35
5534;24;06;2021;19;22;31;36;40
5533;23;06;2021;9;11;13;23;33
5532;22;06;2021;2;3;14;20;42
5531;21;06;2021;1;7;13;18;40
5530;20;06;2021;2;23;29;35;40
5529;19;06;2021;9;17;19;22;37
5528;18;06;2021;5;13;18;25;34
5527;17;06;2021;3;22;37;39;41
5526;16;06;2021;4;9;36;39;41
5525;15;06;2021;4;7;13;19;40
5524;14;06;2021;1;6;10;22;34
5523;13;06;2021;18;24;37;38;42
5522;12;06;2021;7;22;24;36;37
5521;11;06;2021;6;8;17;30;35
5520;10;06;2021;14;25;34;35;38
5519;09;06;2021;6;12;19;36;42
5518;08;06;2021;6;7;8;25;30
5517;07;06;2021;7;12;19;28;39
5516;06;06;2021;2;10;31;35;36
5515;05;06;2021;4;19;32;39;40
5514;04;06;2021;6;10;25;29;39
5513;03;06;2021;8;12;25;29;38
5512;02;06;2021;8;10;11;33;37
5511;01;06;2021;13;20;25;36;41
5510;31;05;2021;3;12;14;18;39
5509;30;05;2021;3;11;12;20;21
5508;29;05;2021;1;6;25;36;39
5507;28;05;2021;8;18;29;32;42
5506;27;05;2021;11;20;24;31;37
5505;26;05;2021;15;16;20;24;25
5504;25;05;2021;2;6;18;20;40
5503;24;05;2021;1;3;24;26;33
5502;23;05;2021;4;6;20;21;27
5501;22;05;2021;16;22;27;31;35
5500;21;05;2021;1;4;5;37;38
5499;20;05;2021;1;10;27;28;30
5498;19;05;2021;5;10;14;21;30
5497;18;05;2021;15;22;34;37;40
5496;17;05;2021;7;18;22;23;38
5495;16;05;2021;3;26;27;28;34
5494;15;05;2021;11;24;34;41;42
5493;14;05;2021;19;25;28;32;37
5492;13;05;2021;8;14;22;34;42
5491;12;05;2021;1;31;34;39;42
5490;11;05;2021;3;4;14;34;35
5489;10;05;2021;21;31;34;37;40
5488;09;05;2021;4;19;22;27;30
5487;08;05;2021;2;20;28;35;37
5486;07;05;2021;1;7;8;10;11
5485;06;05;2021;7;8;31;32;38
5484;05;05;2021;7;9;14;29;39
5483;04;05;2021;9;12;14;41;42
5482;03;05;2021;2;18;19;31;34
5481;02;05;2021;3;6;8;24;28
5480;01;05;2021;7;8;27;30;36
5479;30;04;2021;6;7;14;15;26
5478;29;04;2021;2;16;35;36;39
5477;28;04;2021;8;20;21;26;42
5476;27;04;2021;4;12;19;23;33
5475;26;04;2021;1;8;15;18;42
5474;25;04;2021;11;12;24;32;39
5473;24;04;2021;5;14;32;41;42
5472;23;04;2021;1;4;14;21;29
5471;22;04;2021;9;13;29;31;34
5470;21;04;2021;7;9;12;32;34
5469;20;04;2021;6;8;9;24;30
5468;19;04;2021;7;8;22;27;35
5467;18;04;2021;5;15;23;28;34
5466;17;04;2021;6;9;17;25;37
5465;16;04;2021;10;16;27;29;42
5464;15;04;2021;12;24;30;38;40
5463;14;04;2021;6;18;37;38;39
5462;13;04;2021;14;15;23;26;40
5461;12;04;2021;21;22;26;31;33
5460;11;04;2021;8;23;25;27;31
5459;10;04;2021;4;14;22;23;39
5458;09;04;2021;12;20;23;24;34
5457;08;04;2021;9;17;21;24;40
5456;07;04;2021;2;15;20;27;40
5455;06;04;2021;3;17;25;28;32
5454;05;04;2021;2;26;32;33;37
5453;04;04;2021;15;30;34;35;42
5452;03;04;2021;13;18;20;27;40
5451;02;04;2021;2;10;23;30;31
5450;01;04;2021;1;5;7;20;30
5449;31;03;2021;3;13;34;35;42
5448;30;03;2021;2;5;10;20;27
5447;29;03;2021;16;37;40;41;42
5446;28;03;2021;1;12;22;27;40
5445;27;03;2021;7;29;33;37;42
5444;26;03;2021;1;27;31;35;42
5443;25;03;2021;4;13;14;19;21
5442;24;03;2021;8;12;20;31;37
5441;23;03;2021;4;11;17;23;33
5440;22;03;2021;9;14;18;23;32
5439;21;03;2021;7;14;29;31;42
5438;20;03;2021;4;11;15;27;37
5437;19;03;2021;6;8;22;30;39
5436;18;03;2021;7;14;15;28;30
5435;17;03;2021;17;21;34;37;41
5434;16;03;2021;2;5;11;22;31
5433;15;03;2021;7;9;36;38;42
5432;14;03;2021;1;3;5;6;34
5431;13;03;2021;7;13;25;29;39
5430;12;03;2021;1;20;27;35;41
5429;11;03;2021;11;17;30;36;39
5428;10;03;2021;4;15;20;35;38
5427;09;03;2021;4;5;7;15;33
5426;08;03;2021;2;6;8;13;26
5425;07;03;2021;4;9;28;29;40
5424;06;03;2021;4;21;25;28;36
5423;05;03;2021;8;11;31;33;41
5422;04;03;2021;2;3;23;36;39
5421;03;03;2021;2;18;19;21;38
5420;02;03;2021;6;19;23;30;37
5419;01;03;2021;3;20;28;37;39
5418;28;02;2021;9;27;29;35;39
5417;27;02;2021;7;12;20;27;33
5416;26;02;2021;11;22;23;36;39
5415;25;02;2021;10;20;26;31;36
5414;24;02;2021;15;20;28;37;40
5413;23;02;2021;4;11;13;36;39
5412;22;02;2021;1;3;17;22;38
5411;21;02;2021;16;19;22;26;33
5410;20;02;2021;7;9;17;34;38
5409;19;02;2021;9;10;16;31;37
5408;18;02;2021;9;14;25;28;29
5407;17;02;2021;3;4;6;19;24
5406;16;02;2021;9;20;21;31;37
5405;15;02;2021;14;18;26;32;34
5404;14;02;2021;3;10;15;20;40
5403;13;02;2021;7;16;22;32;38
5402;12;02;2021;9;12;23;26;33
5401;11;02;2021;7;16;34;39;40
5400;10;02;2021;7;11;13;32;37
5399;09;02;2021;11;16;31;33;37
5398;08;02;2021;7;28;29;38;41
5397;07;02;2021;15;25;27;28;42
5396;06;02;2021;9;24;35;41;42
5395;05;02;2021;2;4;16;20;39
5394;04;02;2021;7;11;19;23;24
5393;03;02;2021;2;7;8;9;25
5392;02;02;2021;2;7;36;37;42
5391;01;02;2021;3;4;8;9;19
5390;31;01;2021;13;21;22;24;38
5389;30;01;2021;7;12;27;36;38
5388;29;01;2021;10;14;15;26;37
5387;28;01;2021;2;6;24;36;42
5386;27;01;2021;7;19;24;26;33
5385;26;01;2021;4;5;23;37;40
5384;25;01;2021;6;13;14;27;42
5383;24;01;2021;13;16;23;26;31
5382;23;01;2021;1;27;28;36;39
5381;22;01;2021;12;18;29;32;37
5380;21;01;2021;6;17;27;28;32
5379;20;01;2021;5;10;11;22;29
5378;19;01;2021;10;13;18;19;37
5377;18;01;2021;7;20;21;27;41
5376;17;01;2021;9;24;26;30;37
5375;16;01;2021;8;11;24;33;40
5374;15;01;2021;7;13;24;33;40
5373;14;01;2021;6;10;14;15;21
5372;13;01;2021;1;13;23;26;28
5371;12;01;2021;4;6;12;28;34
5370;11;01;2021;6;13;17;20;35
5369;10;01;2021;1;13;15;31;41
5368;09;01;2021;5;18;25;33;42
5367;08;01;2021;13;24;25;39;42
5366;07;01;2021;4;5;7;18;21
5365;06;01;2021;10;12;33;35;39
5364;05;01;2021;1;4;7;31;41
5363;04;01;2021;10;12;22;30;41
5362;03;01;2021;16;17;19;26;37
5361;02;01;2021;7;11;16;29;41
5360;01;01;2021;3;23;25;26;29

